    44/299     3.11G   0.02781  0.006642         0   0.03445         2       640     0.967    0.9156    0.9607    0.5532   0.02784  0.004307         0
    45/299     3.11G   0.02742  0.006552         0   0.03397         5       640    0.9392    0.9187     0.963    0.5405   0.02847  0.004257         0
    46/299     3.11G    0.0274  0.006783         0   0.03418         5       640    0.9358    0.9125    0.9603    0.5581   0.02652  0.004303         0
    47/299     3.11G    0.0279  0.006478         0   0.03438         2       640    0.9335    0.9218    0.9672    0.5633   0.02736  0.004055         0
    48/299     3.11G   0.02651  0.006392         0    0.0329         6       640    0.9834    0.9375    0.9781    0.5782   0.02686  0.004077         0
    49/299     3.11G   0.02619  0.006331         0   0.03252         5       640    0.9613     0.931    0.9588    0.5653   0.02803  0.004251         0
    50/299     3.11G   0.02624  0.006409         0   0.03265         4       640    0.9802     0.928    0.9782    0.5827   0.02648  0.004024         0
    51/299     3.11G   0.02672  0.006062         0   0.03278         3       640    0.9791    0.8906    0.9701    0.5781   0.02705     0.004         0
    52/299     3.11G    0.0252  0.006341         0   0.03154         4       640    0.9525    0.9398    0.9798     0.575   0.02686  0.003958         0
    53/299     3.11G   0.02638  0.006097         0   0.03248         5       640     0.977     0.928    0.9712    0.5723   0.02718   0.00408         0
    54/299     3.11G    0.0252  0.006221         0   0.03142         5       640    0.9684    0.9561    0.9719    0.6117   0.02525  0.003908         0
    55/299     3.11G   0.02456  0.006096         0   0.03066         4       640    0.9643    0.9292    0.9738    0.6153   0.02511  0.003957         0
    56/299     3.11G   0.02576  0.006244         0     0.032         7       640    0.9672    0.9219    0.9626    0.6022    0.0259  0.004158         0
    57/299     3.11G   0.02509  0.006191         0   0.03128         7       640    0.9606    0.9187     0.962     0.595   0.02575  0.004002         0
    58/299     3.11G   0.02523   0.00637         0    0.0316         8       640    0.9679    0.9437    0.9718    0.6023   0.02517   0.00391         0
    59/299     3.11G   0.02487   0.00598         0   0.03085         3       640    0.9443    0.9563    0.9571    0.5924   0.02614  0.004111         0
    60/299     3.11G   0.02537  0.005944         0   0.03131         5       640    0.9792    0.8841    0.9568    0.5751   0.02658    0.0042         0
    61/299     3.11G   0.02505  0.006233         0   0.03129         4       640    0.9436    0.9405    0.9716    0.5862    0.0258   0.00395         0
    62/299     3.11G   0.02422  0.005838         0   0.03005         3       640    0.9495    0.9406    0.9727    0.6027   0.02517   0.00399         0
    63/299     3.11G   0.02448  0.005725         0    0.0302         4       640    0.9464    0.9374    0.9782    0.5868   0.02583  0.004095         0
    64/299     3.11G   0.02446  0.005961         0   0.03042         1       640    0.9781    0.8719     0.957    0.5707   0.02559  0.004211         0
    65/299     3.11G   0.02501  0.005774         0   0.03078         6       640    0.9866    0.9218    0.9707    0.5964   0.02477     0.004         0
    66/299     3.11G   0.02456  0.006103         0   0.03066         4       640    0.9829    0.9062    0.9742    0.5958   0.02619  0.003973         0
    67/299     3.11G   0.02336  0.005716         0   0.02908         3       640    0.9526    0.9469    0.9748    0.5814   0.02629  0.003941         0
    68/299     3.11G   0.02443  0.006111         0   0.03054         1       640    0.9706    0.9281    0.9688    0.5923   0.02609  0.004196         0
    69/299     3.11G   0.02468  0.006002         0   0.03069         6       640     0.986    0.8875     0.968    0.6048   0.02497  0.004037         0
    70/299     3.11G   0.02332  0.005934         0   0.02925         4       640    0.9644    0.9312    0.9648    0.6027   0.02471  0.004022         0
    71/299     3.11G    0.0241  0.005605         0    0.0297         4       640    0.9465    0.9406    0.9727     0.606   0.02504   0.00397         0
    72/299     3.11G   0.02289  0.005978         0   0.02886         4       640    0.9475    0.9031    0.9622    0.5958   0.02557  0.004051         0
    73/299     3.11G   0.02322  0.005974         0    0.0292         5       640     0.974    0.9374     0.968    0.6102    0.0253  0.003955         0
    74/299     3.11G   0.02374  0.005679         0   0.02941         5       640    0.9678    0.9406    0.9707    0.6073   0.02492  0.004001         0
    75/299     3.11G   0.02349   0.00585         0   0.02934         4       640    0.9741    0.9469     0.981    0.6088   0.02513  0.004071         0
    76/299     3.11G   0.02301  0.005643         0   0.02865         6       640    0.9443    0.9563    0.9757    0.6125   0.02517  0.003953         0
    77/299     3.11G    0.0227  0.005348         0   0.02805         2       640    0.9451    0.9156    0.9576    0.5735   0.02619  0.004333         0
    78/299     3.11G   0.02252    0.0056         0   0.02812        12       640    0.9553    0.9342    0.9696     0.595   0.02542  0.004015         0
    79/299     3.11G   0.02184  0.005721         0   0.02756         8       640    0.9587    0.9435    0.9655    0.5861   0.02553  0.004332         0
    80/299     3.11G   0.02285  0.005658         0   0.02851         5       640    0.9557    0.9436    0.9698    0.5912   0.02559   0.00421         0
    81/299     3.11G   0.02301  0.005652         0   0.02866         6       640    0.9587    0.9437    0.9753     0.605   0.02532  0.004007         0
    82/299     3.11G   0.02255  0.005537         0   0.02809         6       640    0.9427    0.9248    0.9676    0.5783   0.02582  0.004184         0
    83/299     3.11G   0.02235  0.005754         0   0.02811         4       640    0.9562    0.8938    0.9525    0.5904   0.02513  0.004112         0
    84/299     3.11G   0.02293  0.005785         0   0.02872         4       640    0.9703    0.9219     0.967    0.6126   0.02414  0.004224         0
    85/299     3.11G   0.02215  0.005952         0    0.0281         5       640    0.9732    0.9125    0.9733    0.6272   0.02425   0.00403         0
    86/299     3.11G   0.02197   0.00541         0   0.02738         3       640    0.9615    0.9374     0.962    0.6081   0.02456  0.004083         0
    87/299     3.11G   0.02123  0.005656         0   0.02688         5       640    0.9404    0.9375    0.9667    0.6101   0.02419  0.004127         0
    88/299     3.11G   0.02184  0.005357         0    0.0272         3       640     0.953      0.95    0.9664    0.6149   0.02492  0.004211         0
    89/299     3.11G   0.02194  0.005354         0    0.0273         3       640    0.9579     0.925    0.9651    0.5909   0.02576  0.004137         0
    90/299     3.11G   0.02226  0.005761         0   0.02802         6       640    0.9553    0.9375    0.9626    0.6036   0.02464  0.004177         0
    91/299     3.11G   0.02192  0.005477         0   0.02739         1       640    0.9602    0.9062    0.9665    0.6083   0.02422  0.004066         0
    92/299     3.11G   0.02153  0.005579         0   0.02711         4       640    0.9773    0.9406    0.9606    0.6183   0.02471  0.004036         0
